lga_name,revenue_millions,venue_count,total_capacity,avg_capacity
Alpine Shire Council,41.1,30,6856.0,326.5
Ararat Rural City Council,36.6,8,2607.0,434.5
Ballarat City Council,273.3,71,18514.0,385.7
Banyule City Council,173.2,17,5474.0,497.6
Bass Coast Shire Council,116.5,38,8139.0,339.1
Baw Baw Shire Council,147.8,34,9711.0,404.6
Bayside City Council,173.2,29,5004.0,500.4
Benalla Rural City Council,39.3,3,500.0,250.0
Boroondara City Council,253.9,16,5220.0,474.5
Brimbank City Council,243.5,26,11442.0,673.1
Buloke Shire Council,38.4,16,1846.0,167.8
Campaspe Shire Council,92.1,37,6740.0,259.2
Cardinia Shire Council,121.6,26,7411.0,352.9
Casey City Council,353.6,14,8198.0,745.3
Central Goldfields Shire Council,36.9,7,2771.0,554.2
Colac-Otway Shire Council,63.8,19,3786.0,222.7
Corangamite Shire Council,55.7,15,3050.0,254.2
Darebin City Council,191.8,63,22212.0,427.2
East Gippsland Shire Council,141.6,51,9423.0,314.1
Frankston City Council,207.8,21,8689.0,668.4
Gannawarra Shire Council,40.6,8,1477.0,492.3
Glen Eira City Council,188.5,24,6998.0,538.3
Glenelg Shire Council,60.3,21,3677.0,282.8
Golden Plains Shire Council,52.5,6,326.0,108.7
Greater Bendigo City Council,245.4,80,23164.0,373.6
Greater Dandenong City Council,249.5,17,7866.0,983.2
Greater Geelong City Council,567.0,132,45204.0,502.3
Greater Shepparton City Council,165.1,30,6170.0,308.5
Hepburn Shire Council,47.1,20,7929.0,660.8
Hindmarsh Shire Council,26.4,8,1072.0,178.7
Hobsons Bay City Council,160.7,30,8353.0,556.9
Horsham Rural City Council,60.6,18,4680.0,312.0
Hume City Council,243.5,19,5596.0,399.7
Indigo Shire Council,42.8,16,6015.0,546.8
Kingston City Council,253.8,36,7879.0,414.7
Knox City Council,191.9,23,12418.0,827.9
Latrobe City Council,176.1,39,13955.0,606.7
Loddon Shire Council,33.4,12,1869.0,169.9
Macedon Ranges Shire Council,126.9,26,5464.0,321.4
Manningham City Council,169.7,15,4931.0,616.4
Mansfield Shire Council,29.9,19,6359.0,397.4
Maribyrnong City Council,160.3,41,10069.0,347.2
Maroondah City Council,161.8,19,7375.0,670.5
Melbourne City Council,519.2,229,168257.0,858.5
Melton City Council,121.6,5,1417.0,472.3
Merri-Bek City Council,248.4,76,18882.0,325.6
Mildura Rural City Council,147.6,27,7344.0,524.6
Mitchell Shire Council,121.6,22,5517.0,394.1
Moira Shire Council,79.2,20,4679.0,311.9
Monash City Council,216.8,26,11858.0,741.1
Moonee Valley City Council,200.6,32,8885.0,444.2
Moorabool Shire Council,75.8,17,2619.0,201.5
Mornington Peninsula Shire Council,123.7,83,30239.0,549.8
Mount Alexander Shire Council,48.8,20,2603.0,173.5
Moyne Shire Council,57.5,19,2983.0,213.1
Murrindindi Shire Council,40.2,15,3833.0,319.4
Nillumbik Shire Council,89.7,11,2533.0,316.6
Northern Grampians Shire Council,42.9,15,2050.0,256.2
Port Phillip City Council,243.5,91,29627.0,395.0
Pyrenees Shire Council,27.7,11,1318.0,164.8
Queenscliffe Borough Council,20.2,9,830.0,415.0
South Gippsland Shire Council,89.7,23,3581.0,325.5
Southern Grampians Shire Council,48.9,16,2771.0,395.9
Stonnington City Council,196.6,82,19956.0,302.4
Strathbogie Shire Council,36.4,12,2235.0,248.3
Surf Coast Shire Council,102.8,28,11173.0,558.6
Swan Hill Rural City Council,65.2,10,3568.0,594.7
Towong Shire Council,32.0,9,1736.0,217.0
Wangaratta Rural City Council,84.7,5,453.0,151.0
Warrnambool City Council,93.3,16,5996.0,399.7
Wellington Shire Council,123.7,30,6087.0,304.4
West Wimmera Shire Council,26.7,3,618.0,206.0
Whitehorse City Council,211.4,14,8372.0,1046.5
Whittlesea City Council,353.6,11,6956.0,772.9
Wodonga City Council,87.3,10,3780.0,472.5
Wyndham City Council,248.4,23,8796.0,549.8
Yarra City Council,202.6,141,32841.0,250.7
Yarra Ranges Shire Council,248.4,70,25151.0,535.1
Yarriambiack Shire Council,33.0,8,1062.0,177.0
