LGA,Council Revenue,number_of_venues,number_of_gigs
Alpine,41100000,30,17.0
Ararat Rural,36600000,8,0.0
Ballarat,273300000,71,40.0
Banyule,173200000,17,6.5
Bass Coast,116500000,38,15.5
Baw Baw,147800000,34,8.5
Bayside,173200000,29,8.5
Benalla Rural,39300000,3,0.0
Boroondara,253900000,16,9.5
Brimbank,243500000,26,5.5
Buloke,38400000,16,0.0
Campaspe,92100000,37,18.5
Cardinia,121600000,26,8.5
Casey,353600000,14,4.5
Central Goldfields,36900000,7,2.5
Colac-Otway,63800000,19,10.5
Corangamite,55700000,15,4.0
Darebin,191800000,63,52.5
East Gippsland,141600000,51,7.0
Frankston,207800000,21,18.0
Gannawarra,40600000,8,1.5
Glen Eira,188500000,24,8.0
Glenelg,60300000,21,5.5
Golden Plains,52500000,6,0.0
Greater Bendigo,245400000,80,52.0
Greater Dandenong,249500000,17,4.0
Greater Geelong,567000000,132,60.5
Greater Shepparton,165100000,30,15.5
Hepburn,47100000,20,5.0
Hindmarsh,26400000,8,0.0
Hobsons Bay,160700000,30,20.5
Horsham Rural,60600000,18,2.5
Hume,243500000,19,9.0
Indigo,42800000,16,7.0
Kingston,253800000,36,9.0
Knox,191900000,23,15.5
Latrobe,176100000,39,12.5
Loddon,33400000,12,4.0
Macedon Ranges,126900000,26,1.5
Manningham,169700000,15,0.0
Mansfield,29900000,19,6.5
Maribyrnong,160300000,41,22.5
Maroondah,161800000,19,19.0
Melbourne,519200000,229,231.0
Melton,121600000,5,3.0
Merri-Bek,248400000,76,74.0
Mildura Rural,147600000,27,15.0
Mitchell,121600000,22,7.0
Moira,79200000,20,2.5
Monash,216800000,26,6.0
Moonee Valley,200600000,32,19.0
Moorabool,75800000,17,7.0
Mornington Peninsula,123700000,83,31.5
Mount Alexander,48800000,20,14.0
Moyne,57500000,19,8.5
Murrindindi,40200000,15,13.5
Nillumbik,89700000,11,13.0
Northern Grampians,42900000,15,0.0
Port Phillip,243500000,91,87.0
Pyrenees,27700000,11,0.0
Queenscliffe Borough Council,20200000,9,1.5
South Gippsland,89700000,23,3.0
Southern Grampians,48900000,16,1.5
Stonnington,196600000,82,66.0
Strathbogie,36400000,12,0.0
Surf Coast,102800000,28,16.0
Swan Hill Rural,65200000,10,4.0
Towong,32000000,9,7.0
Wangaratta Rural,84700000,5,5.0
Warrnambool,93300000,16,13.5
Wellington,123700000,30,9.0
West Wimmera,26700000,3,0.0
Whitehorse,211400000,14,4.5
Whittlesea,353600000,11,7.0
Wodonga,87300000,10,9.0
Wyndham,248400000,23,10.5
Yarra,202600000,141,124.5
Yarra Ranges,248400000,70,28.0
Yarriambiack,33000000,8,3.0
